Id,Label,0,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,clustering,triangles,weighted degree,eigencentrality,degree,stat_inf_class
carla d. berkenbrock,carla d. berkenbrock,UDESC,21,0,0,0,0,1,1,0,0,0,479
anrafel f. pereira,anrafel f. pereira,UFJF,13,0,0,0,0,0,0,0,0,0,480
victor raft,victor raft,UFES,26,0,0,0,0,0,0,0,0,0,481
jose g. p. filho,jose g. p. filho,UFES,26,0,0,0,0,1,1,0,0,0,482
fernando a. m. filho,fernando a. m. filho,UFES,26,0,0,0,0,1,1,0,0,0,483
cristiana p. bispo,cristiana p. bispo,UNIFACS,13,0,0,0,0,0,0,0,0,0,484
natalia s. santos,natalia s. santos,UFMG,40,0,0,0,0,0,0,0,0,0,485
hugo fuks,hugo fuks,PUC-Rio,44,0,0,0,0,1,10,0,0,0,486
katia vega,katia vega,PUC-Rio,44,0,0,0,0,1,10,0,0,0,487
debora cardador,debora cardador,PUC-Rio,44,0,0,0,0,1,10,0,0,0,488
alberto raposo,alberto raposo,PUC-Rio,44,0,0,0,0,0.464286,13,0,0,0,489
denise filippo,denise filippo,UERJ,44,0,0,0,0,1,10,0,0,0,489
sergio r. p. silva,sergio r. p. silva,Universidade Estadual de Maringá,91,0,0,0,0,1,1,0,0,0,490
josiane m. p. ferreira,josiane m. p. ferreira,UTFPR,91,0,0,0,0,1,1,0,0,0,491
priscilla braz,priscilla braz,PUC-Rio,44,0,0,0,0,1,3,0,0,0,492
paula c. ribeiro,paula c. ribeiro,PUC-Rio,44,0,0,0,0,1,3,0,0,0,493
alberto h. faria,alberto h. faria,PUC-MG,58,0,0,0,0,0,0,0,0,0,494
cristiane n. nobre,cristiane n. nobre,PUC-MG,58,0,0,0,0,0,0,0,0,0,495
marco a. graciotto,marco a. graciotto,UTFPR,26,0,0,0,0,0.166667,1,0,0,0,496
andreia s. bos,andreia s. bos,UFSM,52,0,0,0,0,0.4,4,0,0,0,497
ricardo fleck,ricardo fleck,UFSM,52,0,0,0,0,0.4,4,0,0,0,498
nilmara salgado,nilmara salgado,UFAM,11,0,0,0,0,1,1,0,0,0,499
eduardo r. silva,eduardo r. silva,PUC-Rio,44,0,0,0,0,0,0,0,0,0,500
ana p. c. silva,ana p. c. silva,UFMG,40,0,0,0,0,1,3,0,0,0,501
willyan m. ferreira,willyan m. ferreira,UFOP,40,0,0,0,0,1,3,0,0,0,502
luiz h. c. merschmann,luiz h. c. merschmann,UFOP,40,0,0,0,0,1,3,0,0,0,503
avelino ferreira,avelino ferreira,UFRJ,37,0,0,0,0,1,3,0,0,0,504
alvaro penna,alvaro penna,UFRJ,37,0,0,0,0,1,3,0,0,0,505
viviane azevedo,viviane azevedo,UFRJ,37,0,0,0,0,1,3,0,0,0,506
elaine n. watanabe,elaine n. watanabe,IBM,59,0,0,0,0,1,15,0,0,0,507
alessandro costa,alessandro costa,IBM,59,0,0,0,0,1,15,0,0,0,508
vagner f. santana,vagner f. santana,IBM,59,0,0,0,0,1,15,0,0,0,509
rogerio a. paula,rogerio a. paula,IBM,59,0,0,0,0,1,15,0,0,0,510
carina missae,carina missae,IBM,59,0,0,0,0,1,15,0,0,0,511
silvia c. s. bianchi,silvia c. s. bianchi,IBM,59,0,0,0,0,1,15,0,0,0,512
claudio s. pinhanez,claudio s. pinhanez,IBM,59,0,0,0,0,1,15,0,0,0,513
marcelo k. nishi,marcelo k. nishi,UTFPR,26,0,0,0,0,0,0,0,0,0,514
romulo c. batista,romulo c. batista,UFMA,60,0,0,0,0,0,0,0,0,0,515
francisco j. s. e. silva,francisco j. s. e. silva,UFMA,60,0,0,0,0,0,0,0,0,0,516
tainan g. f. souza,tainan g. f. souza,UEM,62,0,0,0,0,1,1,0,0,0,517
elisa h. m. huzita,elisa h. m. huzita,UEM,62,0,0,0,0,1,1,0,0,0,518
yan h. kabuki,yan h. kabuki,UEM,62,0,0,0,0,1,1,0,0,0,519
leandro d. calvao,leandro d. calvao,UNIRIO,44,0,0,0,0,1,3,0,0,0,520
janisson g. souza,janisson g. souza,UFS,61,0,0,0,0,1,1,0,0,0,521
methanias c. junior,methanias c. junior,UFS,61,0,0,0,0,1,1,0,0,0,522
carlos a. goncalves,carlos a. goncalves,UFMG,61,0,0,0,0,1,1,0,0,0,523
jailson brito,jailson brito,UFBA,62,0,0,0,0,1,10,0,0,0,524
lincoln brito,lincoln brito,UFBA,62,0,0,0,0,1,10,0,0,0,525
adolfo duran,adolfo duran,UFBA,62,0,0,0,0,1,10,0,0,0,526
